"Name","Company","State","City","Salary","Location","Url"
"Software Engineer"," Google  New","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=191997&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_39d7c949&cb=1535036568989&jobListingId=2723095326"
"Software Developer"," EMG-Educations Media Group  We're Hiring","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=383476&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a95960dd&cb=1535036568990&jobListingId=2729649568"
"Software Project Manager"," Arm Holdings  New","Sweden","Lund","","Lund","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=252347&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0a910376&cb=1535036568991&jobListingId=2829331668"
"Software Developer"," Tobii Technology  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=124245&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_8abfb583&cb=1535036568992&jobListingId=2780826275"
"Software Engineer .NET"," Episerver  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=322767&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_adf2d951&cb=1535036568994&jobListingId=2849872121"
"C# (.NET) Chief Software Architect ($100K/yr) - Online Hiring Event"," Crossover for Work  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=370679&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_50a1207f&cb=1535036568995&jobListingId=2828787426"
"Java Chief Software Architect ($100K/yr) - Online Hiring Event"," Crossover for Work  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=370679&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3bf0d4bb&cb=1535036568996&jobListingId=2828786904"
"JavaScript Chief Software Architect ($100K/yr) - Online Hiring Event"," Crossover for Work  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=370679&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_258c8c4c&cb=1535036568998&jobListingId=2828787782"
"Software Engineer"," Vizrt  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=4341&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_cf2ef565&cb=1535036569000&jobListingId=2828215077"
"Software Engineer"," Northvolt  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=124245&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_6de08d3c&cb=1535036569001&jobListingId=2816390993"
