"Name","Company","State","City","Salary","Location","Url"
"Software Developer 3"," Oracle  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=354498&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f1c36fd5&cb=1535036508181&jobListingId=2792494959"
"Technology Senior C++/Java Software Engineer"," UBS  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=336265&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ff387696&cb=1535036508182&jobListingId=2858219148"
"Senior Vice President of Software Engineering & Operations ($400K/yr) - Exclusive Hiring Event"," Crossover for Work  ","Switzerland","Basel","","Basel","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=370657&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_39763358&cb=1535036508183&jobListingId=2828785779"
"IT Software Engineer"," UBS  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=336265&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ffbee4a3&cb=1535036508184&jobListingId=2813774900"
"Backend Software Engineer"," Luxoft  New","Switzerland","Zug","","Zug","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=312636&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0c084c6e&cb=1535036508185&jobListingId=2855655102"
"Senior Software Engineer IMI"," UBS  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=336265&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1b34dcf9&cb=1535036508186&jobListingId=2851409180"
"Software Engineer, Mixed Reality"," Facebook  Hot","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=282723&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_30b50d7f&cb=1535036508187&jobListingId=2702595242"
"Software Engineer Big Data Platform & Analytics"," Credit Suisse  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=273333&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f7608984&cb=1535036508188&jobListingId=2757049078"
"Software Sales Account Executive, Dell Boomi"," Dell  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=325157&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_da18e338&cb=1535036508189&jobListingId=2857278442"
"Software Developer – Virtual Reality, Game Engines, High-end 3D Graphics"," Esri  New","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=177702&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_704ead64&cb=1535036508235&jobListingId=2682405528"
