Name,Company,State,City,Salary,Location,Url
Software Tester, MovieStarPlanet  ,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=7438&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9c9fe504&cb=1535036714963&jobListingId=2747982542
Software Engineer, LiveIntent  We're Hiring,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=323853&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8f0fe52d&cb=1535036714965&jobListingId=2693101313
Senior Software Developer, Deltek  We're Hiring,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=289683&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b9dd8869&cb=1535036714965&jobListingId=2766305095
Senior Technical Supporter, Siteimprove  ,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=297457&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1d415bc0&cb=1535036714966&jobListingId=2864956973
Software Engineering Intern, Zendesk  ,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=134363&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_62623637&cb=1535036714967&jobListingId=2653674886
VP of Technical Product Management ($200k/yr) - Exclusive Hiring Event, Crossover for Work  New,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=370657&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7941e113&cb=1535036714968&jobListingId=2828784322
EVP of Software Engineering and Operations ($800K/yr) - Exclusive Hiring Event, Crossover for Work  New,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=370675&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f0d0553e&cb=1535036714969&jobListingId=2828785370
Software Engineer, GOMSPACE A/S  ,Denmark,Denmark,,Denmark,https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=124245&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_90ccf5ee&cb=1535036714970&jobListingId=2796763431
Senior Vice President of Software Engineering & Operations ($400K/yr) - Exclusive Hiring Event, Crossover for Work  New,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=370657&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c53c9d09&cb=1535036714971&jobListingId=2828785741
Solution Engineer - Nordics, Tinyclues  ,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=259733&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_503e233b&cb=1535036714972&jobListingId=2816863522
SVP of Technical Product Management ($400K/yr) - Exclusive Hiring Event, Crossover for Work  New,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=370657&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d8711e28&cb=1535036714972&jobListingId=2828783979
